IMDB,MOVIE TITLE,Release Date,Cast,Duration,Production,Genre,Country
5.1,Zero to Hero,2023-10-05,"['Charles Paraventi', 'Norival Rizzo', 'Carla Diaz', 'Paula Cohen', 'Vítor diCastro']","109
                min",LightHouse,,
6.5,Música,2024-03-13,"['Bianca Comparato', 'J.B. Smoove', 'David Negri', 'Beatriz Cavalieri', 'José Báez']","91
                min",Wonderland Sound and Vision,,
2.9,Invasion of the Empire of the Apes,2021-04-21,"['Ryan Dalton', 'Ken Van Sant', 'Marie DeLorenzo', 'Jamie Morgan', 'James Carolus']","74
                min",Sterling Entertainment,,
5.6,Chappelle's Home Team - Donnell Rawlings: A New Day,2024-02-26,['Donnell Rawlings'],"40
                min",Not Defined,,
7,Semmelweis,2023-11-30,"['Blanka Mészáros', 'Miklós H. Vecsei', 'Ferenc Lengyel', 'Károly Hajduk', 'Márton Patkós']","127
                min",Film Positive Productions,,
6.5,BORDEA: Teoria conspirației,2023-12-08,['Cătălin Bordea'],"66
                min",Not Defined,,
3.7,Escapee,2023-10-31,"['Tyrone Reid', 'Jamaicia James', 'Jay Junior', 'Dominique Lubin', 'Simon Ellis']","94
                min",ChampDog Films,Action,United Kingdom
5.2,Screwdriver,2023-11-10,"['Milly Sanders', 'AnnaClare Hicks', 'Matt Munroe', 'Charlie Farrell']","94
                min",Askari Productions,Drama,United States of America
4.4,House Of Rooms,2023-09-15,"['Tim Torok', 'Anthony Straeger', 'Meike Kopka', 'Martin Bäcker']","83
                min",NA,Horror,United States of America
5.4,Gassed Up,2024-02-09,"['Ben Shafik', 'Craige Middleburg', 'Steve Toussaint', 'Stephen Odubola', 'Ms Banks']","102
                min",Ascendant Fox,Drama,United Kingdom
4,Too Much Love,2023-10-26,"['Barış Yıldız', 'Ege Aydan', 'Uğur Yücel', 'Şebnem Sönmez', 'Bahtiyar Engin']","101
                min",Nulook Production,Comedy,Turkey
6.5,Suze,2023-09-18,"['Rainbow Francks', 'Ordena Stephens', 'Tricia Black', 'Oscar Hsu', 'Charlie Gillespie']","93
                min",Wildling Pictures,Comedy,Canada
3.7,Bad Timing,2022-08-01,"['Nino Cimino', 'Erin Whittaker', 'Luca Toumadi', 'Jose Adam Alvarez', 'Louis DeStefano']","66
                min",Cimino Productions,Thriller,United States of America
5.2,When the Trash Man Knocks,2023-11-10,"['David Moncrief', 'Lewis Hines', 'Jeff Buchwald', 'Meredith Mohler', 'Cami Roebuck']","99
                min",CWM Entertainment,Horror,United States of America
4.5,The Camp Host,2024-03-16,"['Brooke Johnson', 'Rachel Colwell', 'Erik Knudsen', 'Dillon Casey', 'John Tench']","95
                min",Neshama Entertainment,Thriller,Canada
4.5,Her Dark Reflection,2023-09-09,"['Charlotte Best', 'Lorraine Coulter', 'Nora Guerch', 'Paige Joustra', 'Alex Cook']","80
                min",Gonella Productions,Horror,United States of America
6.6,Gap Weekend,2023-11-14,"['Tanya Ihnen', 'Cruz Kim', 'Nicola Graham', 'Bryan Bertone', 'Sarah Nicklin']","83
                min",Mill Pond Productions,Comedy,United States of America
5.3,Everwinter Night,2023-10-20,"['Topher Hansson', 'Eddie Nason', 'Chris Goodwin', 'Alana Phillips', 'Anthony Gaudette']","105
                min",NA,Comedy,United States of America
4.9,Dietroit,2024-01-07,"['Roosevelt Jackson', 'Hatari Jumbe', 'Chazmar Hall', 'Marchelle Taylor', 'Richelle Merrill']","90
                min",Woodard Entertainment,Drama,United States of America
